name_description,true_label,zeroshot_pred,fewshot_pred
"Cocovey Metal Photo Frame Cocovey Metal Photo Frame (Photo Size - 6*4, 1 Photos)
                         Price: Rs. 549
				
			Add traditional and stylish look to your house with Cocovey handcrafted photo frames. This beautifully crafted photo frame is made of brass. Its traditional tribal and cultural design is unique and brings style to your home. Indian homes are getting stylish with time as there is more excitement towards interior home décor.Our company is an effort to perceive that excitement and help you choose your favorites from a wide range of such painstakingly pursued beautiful handicraft items; as they find their way from the skilled hands of craftsmen directly to that precious place in your abode.
Add traditional and stylish look to your house with Cocovey handcrafted photo frames. This beautifully crafted photo frame is made of brass. Its traditional tribal and cultural design is unique and brings style to your home. Indian homes are getting stylish with time as there is more excitement towards interior home décor.Our company is an effort to perceive that excitement and help you choose your favorites from a wide range of such painstakingly pursued beautiful handicraft items; as they find their way from the skilled hands of craftsmen directly to that precious place in your abode.",Baby Care,Home Decor & Festive Needs,Home Decor & Festive Needs
Wallmantra Medium Vinyl Stickers Sticker Buy Wallmantra Medium Vinyl Stickers Sticker for Rs.1143 online. Wallmantra Medium Vinyl Stickers Sticker at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Baby Care,Home Decor & Festive Needs,Home Decor & Festive Needs
"Happiness Is Printed Bone China Mug Key Features of Happiness Is Printed Bone China Mug Specially Design for Gift,Specifications of Happiness Is Printed Bone China Mug (300 ml) General Type Mug Mug Capacity 300 ml Material Bone China Freezer Safe No Microwave Safe No Dimensions Diameter 90 mm Weight 150 g Height 100 mm Depth 90 mm In the Box Sales Package 1 Peice",Kitchen & Dining,Home Furnishing,Home Furnishing
"FRENEMY MPAD271 Mousepad Key Features of FRENEMY MPAD271 Mousepad smooth surface finish move quickly glossy rich finish easy to clean,FRENEMY MPAD271 Mousepad (Multicolor) Price: Rs. 169 FRENEMY not only sale best quality mousepad but also make a long lasting relationship with buyer by quality products. FRENEMY Mousepad is smooth surface finish, making mouse move quickly across the entire mousepad. Zero hindrance, broad area with glossy rich finish. Brilliant imprint permanently print into pad. It won't crack or peel & Stain-resistant, high-density fabric construction is easy-to-clean.,Specifications of FRENEMY MPAD271 Mousepad (Multicolor) General Specifications Brand FRENEMY Material Non-slip Rubber Base, High Quality non slip fabric Platform PC Model Id MPAD271 Features Duratble & flexible for portibility Color Multicolor Dimensions Weight 150 g Length 179 mm Height 3 mm Width 218 mm In the Box Mousepad, Warranty Card",Computers,Computers,Computers
"Maxima 01741LPLN Analog Watch  - For Women Maxima 01741LPLN Analog Watch  - For Women - Buy Maxima 01741LPLN Analog Watch  - For Women  01741LPLN Online at Rs.650 in India Only at Flipkart.com. Buckle Clasp, Oval Dial, Black Strap, Water Resistant - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
Dizionario Mini Perfume Fan Cooling Fancoolerbl USB USB Fan Buy Dizionario Mini Perfume Fan Cooling Fancoolerbl USB USB Fan for Rs.799 online. Dizionario Mini Perfume Fan Cooling Fancoolerbl USB USB Fan at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Computers,Computers,Computers
"cherry crumble california Baby Boy's Dungaree Key Features of cherry crumble california Baby Boy's Dungaree Fabric: 100% Cotton Brand Color: Grey Olive Camouflage,Specifications of cherry crumble california Baby Boy's Dungaree Top Details Fabric 100% Cotton Type Dungaree General Details Pattern Printed Ideal For Baby Boy's",Baby Care,Baby Care,Baby Care
"Fs Mini Klub Baby Girl's Fit and Flare Dress Key Features of Fs Mini Klub Baby Girl's Fit and Flare Dress MULTI Fit and Flare,Specifications of Fs Mini Klub Baby Girl's Fit and Flare Dress Dimensions Length Midi/Knee Length General Details Pattern Printed Occasion Casual Ideal For Baby Girl's Dress Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% Cotton Type Fit and Flare Fabric Care Wash with Similar Colors",Baby Care,Baby Care,Baby Care
"RRP Born To Have Lxs-001 USB Led Light RRP Born To Have Lxs-001 USB Led Light (Purple)
                         Price: Rs. 99
				
			Portable USB Led light from Portronics is a battery free USB Light that is perfect to be used with Laptops, adapters and Power Banks. It is very compact in size and flexible hence can fit into any position based on use and utility. The Power consumption is very limited but is able to light the whole area around.
Portable USB Led light from Portronics is a battery free USB Light that is perfect to be used with Laptops, adapters and Power Banks. It is very compact in size and flexible hence can fit into any position based on use and utility. The Power consumption is very limited but is able to light the whole area around.",Computers,Computers,Computers
"Babeezworld Baby Boy's Romper Key Features of Babeezworld Baby Boy's Romper Fabric: Cotton Brand Color: Blue:Green,Babeezworld Baby Boy's Romper Price: Rs. 499 Babeezworld presents a cute baby dungaree set for your little one.This dungaree set comes with a trendy round neck cotton t-shirt with shoulder loops for ease and comfort fit. Set is made of soft cotton material and has adjustable straps with two button closures. The front has a special character which gives it a stylish look. This dungaree set is an ideal pick for this summer and is available in multiple colors.,Specifications of Babeezworld Baby Boy's Romper Top Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 2 Fabric Cotton Type Romper Neck Round Neck General Details Pattern Printed Ideal For Baby Boy's Fabric Care Wash with Similar Colors, Use Detergent for Colors",Baby Care,Baby Care,Baby Care
"Times 284TMS284 Party-Wedding Analog Watch  - For Women Times 284TMS284 Party-Wedding Analog Watch  - For Women - Buy Times 284TMS284 Party-Wedding Analog Watch  - For Women  284TMS284 Online at Rs.550 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
"Bianca Cotton Face Towel Set Bianca Cotton Face Towel Set (Face Towel Set, Yellow, Navy)
                         Price: Rs. 439
				
			This 8pc face towel set Indulge yourself with the luxury of soft cotton after every hand wash. This premium quality cotton hand towel perfect to your décor.
This 8pc face towel set Indulge yourself with the luxury of soft cotton after every hand wash. This premium quality cotton hand towel perfect to your décor.",Home Furnishing,Home Furnishing,Home Furnishing
"Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR540E/L 75 Adapter Key Features of Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR540E/L 75 Adapter Designed  for Sony  Vaio VGN-CR540E/L,Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR540E/L 75 Adapter (Power Cord Included) Price: Rs. 599 This is a SmartPro Brand Product. Smartpro Laptop Adapter For 75W Charger for Sony Vaio VGN-CR540E/L 19.5V 3.9A 19.5V 3.95A Connector Pin Size 6.5 x 4.4. This Smartpro replacement adapter is designed to provide reliable power and charge to your laptop. Made from highest quality parts each replacement adapter conforms to specifications similar to original in its quality. Each adapter also passes necessary authentication certifications like CE, ROHS etc. Before leaving the factory, so you can be rest assured for its quality, durability and performance. Please note that all images are indicative, actual product label may vary. Before place order the adapter please assure that you have select right adapter for your laptop. Please check the adapter's voltage and current compliance with the requirment of laptop. Adapter output current laptop rated current, adapter output volatege and notebook voltage deviation , please also check adapter pin with image before place order.,Specifications of Smartpro 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR540E/L 75 Adapter (Power Cord Included) General Brand Smartpro Designed For Vaio VGN-CR540E/L Sales Package 1 Laptop Adapter Key Features Designed for Sony Vaio VGN-CR540E/L Connector Pin Type 6.5mm x 4.4mm Model Id 19.5v,3.9a Replacement Charger for Vaio Series VGN-CR540E/L Power Power Input 220 V, 50 - 60 Hz Power Consumption (W) 75 W Output Current (A) 3.9 A Output Voltage (V) 19.5 V Warranty Covered in Warranty Warranty of the product is limited to manufacturing defects only Warranty Summary 6 Month India Warranty Warranty Service Type Replacement or Repair Carry in Warranty. Customer needs to Carry in / send it for Replacement or Repairs and the Replaced Product will be sent back to Customer Not Covered in Warranty Warranty does not cover any external accessories (such as battery, cable, carrying bag), damage caused to the product due to improper installation by customer, normal wear and tear to magnetic heads, audio, video, laser pick-ups and TV picture tubes, pane",Computers,Computers,Computers
Soy Impulse LED Bulb Buy Soy Impulse LED Bulb for Rs.299 online. Soy Impulse LED Bulb at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Kitchen & Dining,Kitchen & Dining,Home Furnishing
"AKUP i-loves-music Ceramic Mug Key Features of AKUP i-loves-music Ceramic Mug Pack of 1 Mug,AKUP i-loves-music Ceramic Mug (300 ml) Price: Rs. 259 AKUP Ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones. We provide good quality of products with packing. Coffee mugs made of ceramic clay with the volume capacity of 300ml each. You can buy it for yourself to make your moment unforgettable forever. Specifications Product Dimensions: Mugs - Height: 9.5 cms, Diameter: 8 cms. Item Type: Coffee Mug Color: Multi-Color Material: Clay Finish: Glossy Specialty: Lovely Style Wash care: Remove dirt by using a soft fabric to clean and then wipe with a moist cloth. Disclaimer: The fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality. Brand: AKUP designs & co,Specifications of AKUP i-loves-music Ceramic Mug (300 ml) General Type Mug Mug Capacity 300 ml Material Ceramic Freezer Safe Yes Microwave Safe No Dimensions Diameter 8 mm Weight 330 g Height 9.5 mm Depth 8 mm In the Box Sales Package 1 Mug",Kitchen & Dining,Kitchen & Dining,Kitchen & Dining
V9 METAL STRAP Analog Watch  - For Men Specifications of V9 METAL STRAP Analog Watch  - For Men General Type Analog Style Code METAL STRAP Occasion Casual Ideal For Men Warranty NO Body Features Dial Shape Round Strap Color STEEL Dial Color BLACK,Watches,Watches,Watches
"Elegance Polyester Multicolor Abstract Eyelet Door Curtain Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral Curtain,Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening, you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.,Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester",Home Furnishing,Home Decor & Festive Needs,Home Decor & Festive Needs
"NYX Set Of 2 Soft Matte Lip Cream 06,22 NYX Set Of 2 Soft Matte Lip Cream 06,22 (Multi color) Price: Rs. 1,600 NYX brand has been recently bought by Loreal Paris group. And it brings to you NYX best selling product , NYX Soft Matte Lip Cream: Straddles the line between lipstick and gloss.Creamy, lustrous formula applies like silk soft matte finish exudes a sensual glow.Unique innovative texture adds the perfect polish to any look.,Specifications of NYX Set Of 2 Soft Matte Lip Cream 06,22 (Multi color) General Traits Organic Type Natural Quantity 16 ml Shade Multi color Ideal For Women Container Type Bottle In the Box 2 Lip Cream",Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
"Lushomes Plain Back Cushion Key Features of Lushomes Plain Back Cushion Available in various color options and packing combination to suit every décor need. Super soft and fluffy. Uber stylish cushions to take you from the ordinary to the extra ordinary. Package Contents: 5 Cushions with fancy buttons Size: 16 inch x 16 inch or 40 cm x 40 cm,Lushomes Plain Back Cushion (Pack of5, Brown) Price: Rs. 1,599 Elevate your living with theseuberstylish cushions which come with coordinating buttons. The multi-tone fabric leaves the guest amazed whereas the fantastic design goes with any home décor setting. The variety of color options will leave you greedy for more. They are filled with high quality hollow siliconised polyester and stitched to perfection. Available in different sizes and packing combinations to vivify your homes. As we have vacuum packed it, kindly get it out of the poly bag and blow some direct air to make your lounge or any bedroom look fabulous.,Specifications of Lushomes Plain Back Cushion (Pack of5, Brown) General External Material Velvet Brand Lushomes Type Back Cushion Model Name Fancy Buttons Filling Material Polyester Fibre Model ID PLBF16P5-1010 Pillow Design Cushions with Buttons Color Brown Dimensions Weight 880 g Length 40 cm Width 40 cm Depth 2 cm In the Box Number of Contents in Sales Package 5 Sales Package 5 Cushions with Buttons",Home Furnishing,Home Furnishing,Home Furnishing
Jaipan KD2.5 Kadhai 2.5 L Buy Jaipan KD2.5 Kadhai 2.5 L for Rs.499 online. Jaipan KD2.5 Kadhai 2.5 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Kitchen & Dining,Kitchen & Dining,Kitchen & Dining
"Prithish Merry Christmas Design 4 Double Color Ceramic Mug Prithish Merry Christmas Design 4 Double Color Ceramic Mug (330 ml)
                         Price: Rs. 225
				
			""Get talking with your coffee! Our wide selection of cute and catchy designs means you're sure to find the quote that says what it is, the way it is. And if these mugs bring on the smiles, don't forget to share them. Mugs like these make great gifts! Each mug is beautifully designed with quality ink and attractive graphics, perfect for all around enjoyment."" ""Express yourself! Our distinctive coffee mugs give you the freedom to broadcast your own special message, from holiday cheer to your love of cupcakes. These affordable mugs are also perfect for gifting, so you can show others just how well you know them. Break out the mugs, and bring on the laughs! Happy sipping!
""Get talking with your coffee! Our wide selection of cute and catchy designs means you're sure to find the quote that says what it is, the way it is. And if these mugs bring on the smiles, don't forget to share them. Mugs like these make great gifts! Each mug is beautifully designed with quality ink and attractive graphics, perfect for all around enjoyment."" ""Express yourself! Our distinctive coffee mugs give you the freedom to broadcast your own special message, from holiday cheer to your love of cupcakes. These affordable mugs are also perfect for gifting, so you can show others just how well you know them. Break out the mugs, and bring on the laughs! Happy sipping!",Kitchen & Dining,Home Furnishing,Home Furnishing
Ireeya Abstract Single Coral Blanket Blue Buy Ireeya Abstract Single Coral Blanket Blue at Rs. 529 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Baby Care,Home Furnishing,Home Furnishing
Eshoppee Shiv face antique color brass idol Showpiece  -  8 cm Buy Eshoppee Shiv face antique color brass idol Showpiece  -  8 cm for Rs.999 online. Eshoppee Shiv face antique color brass idol Showpiece  -  8 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Decor & Festive Needs,Home Decor & Festive Needs
"Aveeno Protect + Hydrate Broad Spectrum Spf 70 Sunscreen Lotion - SPF 70 PA+ Flipkart.com: Buy Aveeno Protect + Hydrate Broad Spectrum Spf 70 Sunscreen Lotion - SPF 70 PA+ for Rs. 1389 from Flipkart.com. - Lowest Prices, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Beauty and Personal Care,Beauty and Personal Care,Beauty and Personal Care
"RRP Alpha X002 USB Led Light RRP Alpha X002 USB Led Light (Pink)
                         Price: Rs. 90
				
			Portable USB Led light from Portronics is a battery free USB Light that is perfect to be used with Laptops, adapters and Power Banks. It is very compact in size and flexible hence can fit into any position based on use and utility. The Power consumption is very limited but is able to light the whole area around.
Portable USB Led light from Portronics is a battery free USB Light that is perfect to be used with Laptops, adapters and Power Banks. It is very compact in size and flexible hence can fit into any position based on use and utility. The Power consumption is very limited but is able to light the whole area around.",Computers,Computers,Computers
Nike Casual Combo Set Flipkart.com: Buy Nike Casual Combo Set online only for Rs. 410 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Home Furnishing,Home Furnishing
"PRINT SHAPES Peacock Feather Laptop Skin with Mouse pad Combo Set Key Features of PRINT SHAPES Peacock Feather Laptop Skin with Mouse pad Combo Set Glue Free Removal 15.6 inches Laptop skin Easy to Apply & Scratch Resistant Lamination,PRINT SHAPES Peacock Feather Laptop Skin with Mouse pad Combo Set (Multicolor) Price: Rs. 329 Print Shapes Laptop skin made on High Quality vinyl sheet is compatible with laptops screen sizes ranging from 14.1 inches to 15.6 inches. Trimning of the skin would be required as per your laptop size. The skins are easy to install & remove without leaving any gum or residue,Specifications of PRINT SHAPES Peacock Feather Laptop Skin with Mouse pad Combo Set (Multicolor) General Brand PRINT SHAPES Model Name Peacock Feather Laptop Skin with Mouse pad Suitable_for All types of Laptop Color Multicolor Warranty Warranty Summary No Warranty In the Box Number of Contents in Sales Package Pack of 2",Computers,Computers,Computers
"posterchacha Ishita Personalised Custom Name Happy Birthday Gift Tea And Coffee  For Gift Use Ceramic Mug Key Features of posterchacha Ishita Personalised Custom Name Happy Birthday Gift Tea And Coffee  For Gift Use Ceramic Mug Printed on demand,posterchacha Ishita Personalised Custom Name Happy Birthday Gift Tea And Coffee  For Gift Use Ceramic Mug (350 ml) Price: Rs. 349 Give this trendy mug with a warm personal touch of your loved one and present it to her or him on thier. Your dear one is sure to love your back for this lovely surprise. ,Specifications of posterchacha Ishita Personalised Custom Name Happy Birthday Gift Tea And Coffee  For Gift Use Ceramic Mug (350 ml) General Type Mug Mug Capacity 350 ml Freezer Safe Yes Material Ceramic Microwave Safe Yes Warranty Replacement waranty against manufacturing defects Dimensions Diameter 80 mm Weight 250 g Height 80 mm Width 95 mm Depth 80 mm In the Box Sales Package 1 Mug",Kitchen & Dining,Home Furnishing,Home Furnishing
Mavi 237MBB Showpiece  -  15 cm Buy Mavi 237MBB Showpiece  -  15 cm for Rs.1290 online. Mavi 237MBB Showpiece  -  15 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Home Decor & Festive Needs,Home Furnishing,Home Furnishing
"Sonata 1141YM22 Analog Watch  - For Men Sonata 1141YM22 Analog Watch  - For Men - Buy Sonata 1141YM22 Analog Watch  - For Men  1141YM22 Online at Rs.949 in India Only at Flipkart.com. Round Dial, Water Resistant, Golden Strap, Deployment Clasp - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
The Art Box Floral Single Dohar Multicolor Buy The Art Box Floral Single Dohar Multicolor at Rs. 699 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Home Furnishing,Home Decor & Festive Needs,Home Decor & Festive Needs
"Rishan Printed Baby Boy's V-neck T-Shirt Specifications of Rishan Printed Baby Boy's V-neck T-Shirt T-shirt Details Sleeve Full Sleeve Number of Contents in Sales Package Pack of 1 Fabric Cotton Type V-neck Fit Regular General Details Pattern Printed Occasion Casual Ideal For Baby Boy's In the Box 1 T Shirt Additional Details Style Code RISHAK-FSP-14 Fabric Care do not wring,do not use hot water,do not restitch",Baby Care,Baby Care,Baby Care
"PRINT SHAPES Red bull Laptop Skin with Mouse pad Combo Set Key Features of PRINT SHAPES Red bull Laptop Skin with Mouse pad Combo Set Glue Free Removal 15.6 inches Laptop skin Easy to Apply & Scratch Resistant Lamination,PRINT SHAPES Red bull Laptop Skin with Mouse pad Combo Set (Multicolor) Price: Rs. 329 Print Shapes Laptop skin made on High Quality vinyl sheet is compatible with laptops screen sizes ranging from 14.1 inches to 15.6 inches. Trimning of the skin would be required as per your laptop size. The skins are easy to install & remove without leaving any gum or residue,Specifications of PRINT SHAPES Red bull Laptop Skin with Mouse pad Combo Set (Multicolor) General Brand PRINT SHAPES Model Name Red bull Laptop Skin with Mouse pad Suitable_for All types of Laptop Color Multicolor Warranty Warranty Summary No Warranty In the Box Number of Contents in Sales Package Pack of 2",Computers,Computers,Computers
My NewBorn Solid Single Wrapper Assorted Muti Colors Buy My NewBorn Solid Single Wrapper Assorted Muti Colors at Rs. 550 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,Baby Care,Baby Care,Baby Care
Apple AirPort Express Base Station Wireless Router Buy Apple AirPort Express Base Station Wireless Router only for Rs. 6800 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Computers,Computers,Computers
"Pioneer Pragati Floral Single Duvet Orange Pioneer Pragati Floral Single Duvet Orange (1 Duvet)
                         Price: Rs. 1,099
				
			World famous Jaipuri Pure Cotton Single Bed Comforter (also populary called as Dohar) in traditional Sanganeri Gold Print of Rajasthan. The Comforter is a 3-layered cover with fluffy middle layer of High Grade Flannel sheet between two layers of cotton fabric. Being light weight, these are ideal during travelling.

Product Usage:
Envelop yourself in the folds of our unique decorative Comforter and drift off to exotic lands. Ensconced within the folds of this buttery soft cotton comforter your sleep will be sweet and deep, whether you choose to spend your nights cocooned in warm cozy slumber or you choose to indulge in a restful afternoon siesta.

Specifications:

Product Dimensions: LxB: 90x60 inches
Item Type: Single Bed Comforter
Color: Multicolor
Material: Cloth
Specialty: Gold Print Floral Design Quilt.
Filling: High Grade Flannel sheet
Fabric GSM: 170
Wash care:
Dryclean only

Disclaimer:
The item being handmade, the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Pioneer Pragati
World famous Jaipuri Pure Cotton Single Bed Comforter (also populary called as Dohar) in traditional Sanganeri Gold Print of Rajasthan. The Comforter is a 3-layered cover with fluffy middle layer of High Grade Flannel sheet between two layers of cotton fabric. Being light weight, these are ideal during travelling.

Product Usage:
Envelop yourself in the folds of our unique decorative Comforter and drift off to exotic lands. Ensconced within the folds of this buttery soft cotton comforter your sleep will be sweet and deep, whether you choose to spend your nights cocooned in warm cozy slumber or you choose to indulge in a restful afternoon siesta.

Specifications:

Product Dimensions: LxB: 90x60 inches
Item Type: Single Bed Comforter
Color: Multicolor
Material: Cloth
Specialty: Gold Print Floral Design Quilt.
Filling: High Grade Flannel sheet
Fabric GSM: 170
Wash care:
Dryclean only

Disclaimer:
The item being handmade, the fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality.

Return Policy:
No Questions Asked 7 days Return/ Replacement, if you are not satisfied with the product.

Brand:
Pioneer Pragati",Home Furnishing,Home Furnishing,Home Furnishing
Zyxel PLA-4205 Buy Zyxel PLA-4205 only for Rs. 8100 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Computers,Computers,Computers
"HomeEdge Solid Wood King Bed Key Features of HomeEdge Solid Wood King Bed King Bed 72x78 Mattress Size 1 King Bed Natural Polish,HomeEdge Solid Wood King Bed (Finish Color -  Natural) Price: Rs. 18,799 Made to Order SolidWood Bed made by the finest artisans from Rajasthan. Bed is made to perfection. These Beds are handicraft products which are made to order by the manufacturer. Please make sure that this bed is ordered once you are aware of the entire product. Mattress Dimension of a Queen Size Bed will be 60inch x 78inch and Mattress Dimension of a King Bed will be 72inch x 78inch. Kindly check the mattress size before you order the bed. Also, the polish might have a slight variation as these are wooden products and grains are not uniform. due to grains the polish might look light or dark in some portions. All the Wooden products are termite treated and has gone through a high level quality check before being packed.,Specifications of HomeEdge Solid Wood King Bed (Finish Color -  Natural) Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product In The Box 1 King Bed General Brand HomeEdge Delivery Condition Knock Down Storage Included No Style Contemporary & Modern Bed Size King Upholstery Included No Upholstery Type NA Suitable For Bedroom, Kids Room Model Number HE_BED_King_04 With Mattress No Bed Type Standard Finish Type Matte Care Instructions Wipe clean with a cloth, No Water, Keep away from direct sunlight Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. Warranty Covered in Warranty Limited to Manufacturing Defects Only Service Type On-site Service, Customer needs to call the nearby Authorized Service Center, service engineer will come to the site to get the product repaired or inspected. Warranty Summary 1 Year Company Domestic Warranty Not Covered in Warranty Normal Wear and Tear is not a part of the warranty Dimensions Weight 80 kg Floor Clearance 317.5 mm Height 760 mm Width 1900 mm Depth 2060 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart, or the Seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles Material & Color Upholstery Color NA Primary Color Brown Primary Material Solid Wood Secondary Material Subtype NA Secondary Material NA Finish Color Natural Primary Material Subtype Rosewood (Sheesham) Additional Features Origin of Manufacture Domestic",Beauty and Personal Care,Home Furnishing,Home Furnishing
"Hako 85W Magsafe Laptop Charger For APPLE MacBook Pro 17 MA897LLA 85 Adapter Key Features of Hako 85W Magsafe Laptop Charger For APPLE MacBook Pro 17 MA897LLA 85 Adapter Designed For: APPLE MacBook Pro 17"" MB133LL/A MAGSAFE,Hako 85W Magsafe Laptop Charger For APPLE MacBook Pro 17 MA897LLA 85 Adapter Price: Rs. 1,849 Hako laptop adapters come with high quality certification and are compatible with respective brands, all adapters are equipped with protection circuit to protect the laptop all adapters come with 1year warranty.,Specifications of Hako 85W Magsafe Laptop Charger For APPLE MacBook Pro 17 MA897LLA 85 Adapter General Brand Hako Designed For APPLE MacBook Pro 17"" MB133LL/A MAGSAFE Sales Package 1 Laptop Adapter Model Name APPLE MacBook Pro 17"" MB133LL/A MAGSAFE Model Id 85W Magsafe Laptop Charger For APPLE MacBook Pro 17 MA897LLA Power Power Consumption (W) 85 W Warranty Covered in Warranty Manufacturing Defects Only Warranty Summary 1 Year Warranty Warranty Service Type To Claim a Warranty Customer needs to contact seller.. Then he will be guided to the nearest service center.. If the service center is not available in in his area then he needs to courier the product to seller and we will replace the product and send via courier Not Covered in Warranty Any Physcal Damage will not be covered under warranty",Computers,Computers,Computers
Aero Care Blue 4 Lady Combo Set Flipkart.com: Buy Aero Care Blue 4 Lady Combo Set online only for Rs. 165 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Beauty and Personal Care,Home Furnishing,Home Furnishing
"HMT Sonata Gold Plated Watch For Men Sonata Analog Watch  - For Men HMT Sonata Gold Plated Watch For Men Sonata Analog Watch  - For Men - Buy HMT Sonata Gold Plated Watch For Men Sonata Analog Watch  - For Men  Sonata Gold Plated Watch For Men Online at Rs.899 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",Watches,Watches,Watches
KLIQVIK SIX PORT USB HUB FOR ANDROID MOBILES TR-250 USB USB Hub Buy KLIQVIK SIX PORT USB HUB FOR ANDROID MOBILES TR-250 USB USB Hub for Rs.1099 online. KLIQVIK SIX PORT USB HUB FOR ANDROID MOBILES TR-250 USB USB Hub at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Computers,Computers,Computers
